,url,title,description,h1,html,image,text
732,https://themarket.co.uk/listings/mg/mgc/63e0fd...,1969 MG MGC GT AUTOMATIC For Sale by Auction,['This MGC is originally a Channel Islands car...,1969 MG MGC GT AUTOMATIC,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,1969 MG MGC GT AUTOMATIC\nBackground\nOnly pro...
684,https://themarket.co.uk/listings/mercedes-benz...,2004 Mercedes-Benz SL65 AMG For Sale by Auction,"['With just 25,500 miles on the odometer, this...",2004 Mercedes-Benz SL65 AMG,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,2004 Mercedes-Benz SL65 AMG\nBackground\nFollo...
530,https://themarket.co.uk/listings/land-rover/se...,1959 LAND ROVER SERIES II LWB For Sale by Auction,['Spending the first third of its life oversea...,1959 LAND ROVER SERIES II LWB,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,1959 LAND ROVER SERIES II LWB\nBackground\nFro...
736,https://themarket.co.uk/listings/mg/mgf-vvc-18...,2000 MG MGF VVC 1.8 For Sale by Auction,['This delightful and honest little 1.8-litre ...,2000 MG MGF VVC 1.8,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,2000 MG MGF VVC 1.8\nBackground\nThe MG F and ...
854,https://themarket.co.uk/listings/peugeot/205-g...,1989 Peugeot 205 GTi 1.9 For Sale by Auction,"['First registered in August 1989, the vendor ...",1989 Peugeot 205 GTi 1.9,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,1989 Peugeot 205 GTi 1.9\nBackground\nLaunched...
44,https://themarket.co.uk/listings/alpina-bmw/d3...,2008 Alpina BMW D3 For Sale by Auction,"['One of only 614 ever produced, this lovely A...",2008 Alpina BMW D3,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,2008 Alpina BMW D3\nBackground\nFollowing the ...
797,https://themarket.co.uk/listings/mgb/roadster/...,1963 MGB Roadster For Sale by Auction,"['With just one previous keeper, a Dr Chapman ...",1963 MGB Roadster,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,1963 MGB Roadster\nBackground\nIntroduced in 1...
149,https://themarket.co.uk/listings/bentley/flyin...,2010 BENTLEY Flying Spur Speed For Sale by Auction,['First registered on the 5th of November 2010...,2010 BENTLEY Flying Spur Speed,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,2010 BENTLEY Flying Spur Speed\nBackground\nEs...
691,https://themarket.co.uk/listings/mercedes/190e...,1990 Mercedes 190E 2.0 For Sale by Auction,['This is a five-owner-from new example finish...,1990 Mercedes 190E 2.0,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,1990 Mercedes 190E 2.0\nBackground\nThe W201 1...
1201,https://themarket.co.uk/listings/mercedes-benz...,1995 MERCEDES-BENZ SL60 AMG For Sale by Auction,['1995 MERCEDES-BENZ SL60 AMG 43k Miles - Imma...,1995 MERCEDES-BENZ SL60 AMG,"<!doctype html>\n<html class=""no-js"" lang=""en""...",['https://patina-media.s3.amazonaws.com/previe...,1995 MERCEDES-BENZ SL60 AMG\nBackground\nMuch ...
